href,firstName,lastName,elo
ab943cd2c3c17825,Marcos,Rogerio de Lima,1261.4170432566818
91acd6910b802a9e,Chris,Lytle,1261.1868676541083
ce1e867808ef5fce,Justin,Willis,1261.1168490085233
93892752c5fc23ca,Jerry,Bohlander,1260.9019400509726
f53c1f4ceeed8c08,Dustin,Ortiz,1260.8464543696653
d0314416a7f26527,Michael,McDonald,1260.8062541927695
ee779c43a8926d52,Rashad,Evans,1260.7969876882703
31a13532e724ca2b,Stevie,Ray,1260.617083487857
9c65736747ca92ec,Leonardo,Santos,1260.4748416985276
9fe85152f351e737,Mike,Swick,1260.3630676616635
9abc648e76c4493a,Bill,Algeo,1259.7925934557818
7dda2cf308f24a02,Virna,Jandiroba,1259.067162702314
85d905f7c4f5a1af,Murilo,Bustamante,1258.801384541731
b1d19449397541dc,Askar,Askarov,1258.7872281684988
2cd428e9606856fd,Jairzinho,Rozenstruik,1258.7280935850197
2f13e4020cea5b38,Raphael,Assuncao,1258.5968775028612
4e30e4250cb08b61,Loma,Lookboonmee,1258.4805851066878
50cc91ce2982785d,Ricco,Rodriguez,1258.4539957293046
5d1b7e3dd9e11074,Manel,Kape,1258.418822634452
4682bc59d5f55145,Sean,Woodson,1258.418822634452
946f341df6472ee0,Guy,Mezger,1258.3675842080474
82e7929bf6c2b689,Diego,Sanchez,1258.1878425971856
00e11b5c8b7bfeeb,Luke,Rockhold,1257.6814252528486
b102c26727306ab6,Jussier,Formiga,1257.638975690292
8d11d9c13e2ccdf7,Muhammad,Naimov,1257.6125469566769
ba280572acfba13f,Matt,Mitrione,1257.5843050352787
a67f5afa8d6a1b80,Ryan,Spann,1257.4507202693137
0d506315895efffc,Sean,Pierson,1257.392091567349
5ec591b78349ba7e,Christian,Rodriguez,1256.9718565698163
c62fbc117d57b943,Tai,Tuivasa,1256.8831845183029
853eb0dd5c0e2149,Kai,Kara-France,1256.515744829306
eabf206b162b3b83,Paul,Craig,1255.833091459714
5fa2974cbd18e05c,John,Castaneda,1255.7983020028541
d7c3816669784109,Karolina,Kowalkiewicz,1255.720854174687
d468288756ae3982,Renato,Sobral,1255.304244637327
68dd7b3783c19f9c,Shane,Carwin,1255.110918189183
1c2f2571b18791b6,Laverne,Clark,1254.783115907381
7691a80e6ca3e55b,Jon,Madsen,1254.779975754025
04835018f90b118c,Casey,O'Neill,1254.7202340912893
0845c81e37d3bcb3,Volkan,Oezdemir,1254.7039038609757
31123249b0bbf52e,Matt,Brown,1254.5876947108857
7026eca45f65377b,Jared,Gordon,1254.5500721302972
d31a5546c0e9b213,Rodrigo,Nascimento,1254.193674080989
c8097968da5e5f13,Chris,Wade,1254.0392687895824
cf65d56b0755ed3b,Alan,Jouban,1253.7752713458497
6cadfd8f1d9e7685,Che,Mills,1253.4062861427174
6256b2b1562cb8e1,James,Vick,1253.3614582066864
b8bbdeff718dbb7d,Pat,Sabatini,1253.0622428965007
03688dc3c3af3ac1,Bas,Rutten,1252.9611050865817
6fb1ba67bef41b37,Nik,Lentz,1252.87308317593
9d83f6da776ff7d6,Roman,Kopylov,1252.6759668643192
e0c6edcb5b5d0b90,Chepe,Mariscal,1252.485995425758
80daefbed11ce998,Alejandro,Perez,1252.1896590897607
3a314d9fa7c6825d,Douglas,Silva de Andrade,1252.1286443589838
1e327b281ef6a745,Adlan,Amagov,1251.859847670455
b07aed698fba8624,Ikram,Aliskerov,1251.8098334174088
3591d0d5d382a381,Francis,Carmont,1251.5621614498696
fc60ecf0671b9489,Chris,Holdsworth,1251.273319807302
ec34349e7dffcde7,Claudia,Gadelha,1250.8967548954508
8a59d346dc976a10,Thiago,Tavares,1250.8643804774333
fb3e61720be4690c,Mike,Davis,1250.6272755520783
9450848a71d53776,Lorenz,Larkin,1250.6255923050753
